,pdb,poserank,similarity,RMSD,rmsd_weight,similarity_weight,weight,label
31,1c5z,2,48.10126582278481,0.29,10.0,0.0,0.5,0
32,1c5z,3,34.177215189873415,0.34,10.0,0.0,0.5,0
33,1c5z,4,8.860759493670885,3.59,0.0,0.0,0.0,0
34,1c5z,5,1.265822784810126,4.11,0.0,0.0,0.0,0
35,1c5z,6,7.59493670886076,3.95,0.0,0.0,0.0,0
36,1c5z,7,3.79746835443038,3.39,0.0,0.0,0.0,0
37,1c5z,8,18.9873417721519,3.39,0.0,0.0,0.0,0
38,1c5z,9,12.658227848101266,3.18,0.0,0.0,0.0,0
39,1c5z,10,0.0,3.17,0.0,0.0,0.0,0
40,1e66,1,79.13043478260869,0.28,10.0,7.0,0.85,1
41,1e66,2,0.0,,,0.0,,0
42,1e66,3,0.0,,,0.0,,0
43,1e66,4,0.0,,,0.0,,0
44,1e66,5,0.0,,,0.0,,0
45,1e66,6,0.0,,,0.0,,0
46,1e66,7,0.0,,,0.0,,0
47,1e66,8,0.0,,,0.0,,0
48,1e66,9,0.0,,,0.0,,0
49,1e66,10,0.0,,,0.0,,0
50,1eby,1,82.27848101265823,0.37,10.0,10.0,1.0,1
51,1eby,2,8.860759493670885,0.76,10.0,0.0,0.5,0
52,1eby,3,5.69620253164557,1.88,10.0,0.0,0.5,0
53,1eby,4,5.69620253164557,1.92,10.0,0.0,0.5,0
54,1eby,5,40.50632911392405,1.97,10.0,0.0,0.5,0
55,1eby,6,38.607594936708864,1.96,10.0,0.0,0.5,0
56,1eby,7,19.62025316455696,2.7,7.0,0.0,0.35,0
57,1eby,8,51.26582278481012,4.19,0.0,0.0,0.0,0
58,1eby,9,6.329113924050633,4.21,0.0,0.0,0.0,0
59,1eby,10,0.0,4.41,0.0,0.0,0.0,0
60,1g2k,1,76.8361581920904,0.55,10.0,7.0,0.85,1
61,1g2k,2,69.49152542372882,1.6,10.0,0.0,0.5,0
62,1g2k,3,21.468926553672315,10.29,0.0,0.0,0.0,0
63,1g2k,4,17.51412429378531,8.12,0.0,0.0,0.0,0
64,1g2k,5,6.779661016949152,10.66,0.0,0.0,0.0,0
65,1g2k,6,22.033898305084744,6.68,0.0,0.0,0.0,0
66,1g2k,7,1.694915254237288,5.25,0.0,0.0,0.0,0
67,1g2k,8,18.64406779661017,7.87,0.0,0.0,0.0,0
68,1g2k,9,1.694915254237288,5.37,0.0,0.0,0.0,0
69,1g2k,10,0.0,5.44,0.0,0.0,0.0,0
70,1gpk,1,83.61581920903954,0.25,10.0,10.0,1.0,1
71,1gpk,2,17.51412429378531,3.62,0.0,0.0,0.0,0
72,1gpk,3,15.819209039548024,4.75,0.0,0.0,0.0,0
73,1gpk,4,23.728813559322035,3.52,0.0,0.0,0.0,0
74,1gpk,5,12.429378531073446,4.88,0.0,0.0,0.0,0
75,1gpk,6,49.717514124293785,1.42,10.0,0.0,0.5,0
76,1gpk,7,17.51412429378531,4.67,0.0,0.0,0.0,0
77,1gpk,8,15.254237288135593,4.86,0.0,0.0,0.0,0
78,1gpk,9,16.38418079096045,3.93,0.0,0.0,0.0,0
79,1gpk,10,0.0,,,0.0,,0
80,1gpn,1,11.39240506329114,4.43,0.0,0.0,0.0,0
81,1gpn,2,83.54430379746836,0.4,10.0,10.0,1.0,1
82,1gpn,3,16.455696202531644,3.86,0.0,0.0,0.0,0
83,1gpn,4,12.658227848101266,4.6,0.0,0.0,0.0,0
84,1gpn,5,3.79746835443038,4.45,0.0,0.0,0.0,0
85,1gpn,6,49.36708860759494,1.4,10.0,0.0,0.5,0
86,1gpn,7,3.79746835443038,4.27,0.0,0.0,0.0,0
87,1gpn,8,8.860759493670885,4.44,0.0,0.0,0.0,0
88,1gpn,9,20.253164556962027,3.95,0.0,0.0,0.0,0
89,1gpn,10,0.0,,,0.0,,0
90,1h22,1,5.223880597014925,6.42,0.0,0.0,0.0,0
91,1h22,2,42.53731343283582,6.38,0.0,0.0,0.0,0
92,1h22,3,2.985074626865671,3.46,0.0,0.0,0.0,0
93,1h22,4,19.402985074626866,,,0.0,,0
94,1h22,5,61.19402985074627,1.65,10.0,0.0,0.5,0
95,1h22,6,1.492537313432835,2.76,7.0,0.0,0.35,0
96,1h22,7,2.985074626865671,2.88,7.0,0.0,0.35,0
97,1h22,8,51.49253731343284,3.03,0.0,0.0,0.0,0
98,1h22,9,1.492537313432835,,,0.0,,0
99,1h22,10,0.0,3.96,0.0,0.0,0.0,0
100,1h23,1,4.526748971193416,6.49,0.0,0.0,0.0,0
101,1h23,2,39.09465020576132,6.43,0.0,0.0,0.0,0
102,1h23,3,13.580246913580247,4.12,0.0,0.0,0.0,0
103,1h23,4,1.646090534979424,2.84,7.0,0.0,0.35,0
104,1h23,5,25.514403292181072,2.95,7.0,0.0,0.35,0
105,1h23,6,67.48971193415639,1.3,10.0,0.0,0.5,0
106,1h23,7,1.234567901234567,5.61,0.0,0.0,0.0,0
107,1h23,8,9.053497942386832,4.57,0.0,0.0,0.0,0
108,1h23,9,10.2880658436214,4.33,0.0,0.0,0.0,0
109,1h23,10,0.0,4.25,0.0,0.0,0.0,0
110,1k1i,1,74.66666666666667,4.73,0.0,7.0,0.35,0
111,1k1i,2,81.33333333333333,2.0,7.0,10.0,0.85,1
112,1k1i,3,50.0,4.95,0.0,0.0,0.0,0
113,1k1i,4,52.0,4.51,0.0,0.0,0.0,0
114,1k1i,5,31.333333333333336,3.3,0.0,0.0,0.0,0
115,1k1i,6,51.33333333333333,3.56,0.0,0.0,0.0,0
116,1k1i,7,50.0,5.67,0.0,0.0,0.0,0
117,1k1i,8,4.0,6.36,0.0,0.0,0.0,0
118,1k1i,9,2.666666666666667,6.38,0.0,0.0,0.0,0
119,1k1i,10,0.0,4.4,0.0,0.0,0.0,0
120,1lpg,1,20.689655172413794,10.17,0.0,0.0,0.0,0
121,1lpg,2,0.0,9.07,0.0,0.0,0.0,0
122,1lpg,3,36.7816091954023,1.03,10.0,0.0,0.5,0
123,1lpg,4,19.54022988505747,10.23,0.0,0.0,0.0,0
124,1lpg,5,11.494252873563218,10.42,0.0,0.0,0.0,0
125,1lpg,6,0.0,8.64,0.0,0.0,0.0,0
126,1lpg,7,0.57471264367816,8.21,0.0,0.0,0.0,0
127,1lpg,8,24.137931034482758,10.03,0.0,0.0,0.0,0
128,1lpg,9,54.59770114942529,2.51,7.0,0.0,0.35,0
129,1lpg,10,0.0,10.55,0.0,0.0,0.0,0
130,1mq6,1,57.72357723577236,1.4,10.0,0.0,0.5,0
131,1mq6,2,53.65853658536586,1.42,10.0,0.0,0.5,0
132,1mq6,3,57.72357723577236,1.64,10.0,0.0,0.5,0
133,1mq6,4,47.15447154471545,2.64,7.0,0.0,0.35,0
134,1mq6,5,61.78861788617886,2.01,7.0,0.0,0.35,0
135,1mq6,6,5.691056910569105,7.94,0.0,0.0,0.0,0
136,1mq6,7,0.8130081300813,8.57,0.0,0.0,0.0,0
137,1mq6,8,4.065040650406503,9.37,0.0,0.0,0.0,0
138,1mq6,9,8.130081300813007,6.95,0.0,0.0,0.0,0
139,1mq6,10,0.0,10.4,0.0,0.0,0.0,0
140,1nc1,1,82.70676691729322,0.39,10.0,10.0,1.0,1
141,1nc1,2,0.0,,,0.0,,0
142,1nc1,3,6.766917293233082,5.81,0.0,0.0,0.0,0
143,1nc1,4,14.285714285714285,3.63,0.0,0.0,0.0,0
144,1nc1,5,0.75187969924812,5.35,0.0,0.0,0.0,0
145,1nc1,6,7.518796992481203,3.72,0.0,0.0,0.0,0
146,1nc1,7,3.759398496240601,5.56,0.0,0.0,0.0,0
147,1nc1,8,1.50375939849624,5.85,0.0,0.0,0.0,0
148,1nc1,9,2.25563909774436,5.06,0.0,0.0,0.0,0
149,1nc1,10,0.0,5.61,0.0,0.0,0.0,0
150,1nc3,1,85.71428571428571,0.46,10.0,10.0,1.0,1
151,1nc3,2,38.775510204081634,2.5,7.0,0.0,0.35,0
152,1nc3,3,0.0,,,0.0,,0
153,1nc3,4,6.122448979591836,5.57,0.0,0.0,0.0,0
154,1nc3,5,4.081632653061225,6.1,0.0,0.0,0.0,0
155,1nc3,6,2.721088435374149,5.83,0.0,0.0,0.0,0
156,1nc3,7,14.285714285714285,3.29,0.0,0.0,0.0,0
157,1nc3,8,3.401360544217687,5.72,0.0,0.0,0.0,0
158,1nc3,9,5.442176870748299,4.06,0.0,0.0,0.0,0
159,1nc3,10,0.0,5.63,0.0,0.0,0.0,0
160,1nvq,1,23.703703703703706,,,0.0,,0
161,1nvq,2,66.66666666666666,,,0.0,,0
162,1nvq,3,5.185185185185185,,,0.0,,0
163,1nvq,4,2.962962962962963,,,0.0,,0
164,1nvq,5,37.77777777777778,,,0.0,,0
165,1nvq,6,21.48148148148148,,,0.0,,0
166,1nvq,7,2.222222222222222,,,0.0,,0
167,1nvq,8,0.0,,,0.0,,0
168,1nvq,9,10.37037037037037,,,0.0,,0
169,1nvq,10,0.0,,,0.0,,0
170,1o0h,1,83.33333333333334,0.9,10.0,10.0,1.0,1
171,1o0h,2,68.62745098039215,1.5,10.0,0.0,0.5,0
172,1o0h,3,66.66666666666666,1.43,10.0,0.0,0.5,0
173,1o0h,4,67.64705882352942,1.91,10.0,0.0,0.5,0
174,1o0h,5,31.372549019607842,3.25,0.0,0.0,0.0,0
175,1o0h,6,23.52941176470588,2.2,7.0,0.0,0.35,0
176,1o0h,7,15.686274509803921,2.77,7.0,0.0,0.35,0
177,1o0h,8,50.0,2.32,7.0,0.0,0.35,0
178,1o0h,9,46.07843137254902,3.48,0.0,0.0,0.0,0
179,1o0h,10,0.0,7.36,0.0,0.0,0.0,0
180,1o3f,1,49.2063492063492,1.5,10.0,0.0,0.5,0
181,1o3f,2,50.0,1.08,10.0,0.0,0.5,0
182,1o3f,3,63.49206349206349,3.2,0.0,0.0,0.0,0
183,1o3f,4,11.11111111111111,8.23,0.0,0.0,0.0,0
184,1o3f,5,25.396825396825395,2.15,7.0,0.0,0.35,0
185,1o3f,6,61.111111111111114,3.56,0.0,0.0,0.0,0
186,1o3f,7,0.793650793650793,8.46,0.0,0.0,0.0,0
187,1o3f,8,12.698412698412698,3.93,0.0,0.0,0.0,0
188,1o3f,9,37.301587301587304,2.67,7.0,0.0,0.35,0
189,1o3f,10,0.0,,,0.0,,0
190,1o5b,1,89.41176470588236,0.4,10.0,10.0,1.0,1
191,1o5b,2,5.88235294117647,3.66,0.0,0.0,0.0,0
192,1o5b,3,10.588235294117647,3.3,0.0,0.0,0.0,0
193,1o5b,4,0.0,5.81,0.0,0.0,0.0,0
194,1o5b,5,18.823529411764707,4.26,0.0,0.0,0.0,0
195,1o5b,6,8.235294117647058,3.3,0.0,0.0,0.0,0
196,1o5b,7,5.88235294117647,4.95,0.0,0.0,0.0,0
197,1o5b,8,3.5294117647058822,4.17,0.0,0.0,0.0,0
198,1o5b,9,5.88235294117647,5.72,0.0,0.0,0.0,0
199,1o5b,10,0.0,3.67,0.0,0.0,0.0,0
200,1owh,1,68.0,2.35,7.0,0.0,0.35,0
201,1owh,2,11.200000000000001,9.66,0.0,0.0,0.0,0
202,1owh,3,54.400000000000006,0.64,10.0,0.0,0.5,0
203,1owh,4,11.200000000000001,9.62,0.0,0.0,0.0,0
204,1owh,5,10.4,9.58,0.0,0.0,0.0,0
205,1owh,6,5.6,9.67,0.0,0.0,0.0,0
206,1owh,7,30.4,2.29,7.0,0.0,0.35,0
207,1owh,8,5.6,9.67,0.0,0.0,0.0,0
208,1owh,9,6.4,5.97,0.0,0.0,0.0,0
209,1owh,10,0.0,9.48,0.0,0.0,0.0,0
210,1oyt,1,85.82089552238806,0.2,10.0,10.0,1.0,1
211,1oyt,2,70.8955223880597,3.21,0.0,7.0,0.35,0
212,1oyt,3,40.298507462686565,2.41,7.0,0.0,0.35,0
213,1oyt,4,37.3134328358209,2.45,7.0,0.0,0.35,0
214,1oyt,5,20.8955223880597,4.43,0.0,0.0,0.0,0
215,1oyt,6,11.194029850746269,3.67,0.0,0.0,0.0,0
216,1oyt,7,6.7164179104477615,7.01,0.0,0.0,0.0,0
217,1oyt,8,4.477611940298507,7.53,0.0,0.0,0.0,0
218,1oyt,9,23.134328358208954,3.36,0.0,0.0,0.0,0
219,1oyt,10,0.0,4.38,0.0,0.0,0.0,0
220,1p1n,1,74.86910994764398,0.99,10.0,7.0,0.85,1
221,1p1n,2,22.5130890052356,4.37,0.0,0.0,0.0,0
222,1p1n,3,5.759162303664921,3.94,0.0,0.0,0.0,0
223,1p1n,4,18.32460732984293,3.82,0.0,0.0,0.0,0
224,1p1n,5,27.225130890052355,2.7,7.0,0.0,0.35,0
225,1p1n,6,13.612565445026178,4.18,0.0,0.0,0.0,0
226,1p1n,7,14.136125654450263,3.92,0.0,0.0,0.0,0
227,1p1n,8,4.18848167539267,4.2,0.0,0.0,0.0,0
228,1p1n,9,7.329842931937172,4.57,0.0,0.0,0.0,0
229,1p1n,10,0.0,,,0.0,,0
230,1p1q,1,1.976284584980237,5.05,0.0,0.0,0.0,0
231,1p1q,2,7.905138339920949,4.77,0.0,0.0,0.0,0
232,1p1q,3,60.86956521739131,2.61,7.0,0.0,0.35,0
233,1p1q,4,6.719367588932807,4.88,0.0,0.0,0.0,0
234,1p1q,5,47.03557312252965,2.19,7.0,0.0,0.35,0
235,1p1q,6,7.905138339920949,4.48,0.0,0.0,0.0,0
236,1p1q,7,24.110671936758894,3.27,0.0,0.0,0.0,0
237,1p1q,8,6.719367588932807,4.47,0.0,0.0,0.0,0
238,1p1q,9,36.36363636363637,2.6,7.0,0.0,0.35,0
239,1p1q,10,0.0,2.24,7.0,0.0,0.35,0
240,1ps3,1,83.82352941176471,0.48,10.0,10.0,1.0,1
241,1ps3,2,0.7352941176470581,5.89,0.0,0.0,0.0,0
242,1ps3,3,48.529411764705884,1.79,10.0,0.0,0.5,0
243,1ps3,4,5.88235294117647,4.36,0.0,0.0,0.0,0
244,1ps3,5,5.147058823529411,7.18,0.0,0.0,0.0,0
245,1ps3,6,5.147058823529411,6.81,0.0,0.0,0.0,0
246,1ps3,7,0.0,5.65,0.0,0.0,0.0,0
247,1ps3,8,5.88235294117647,5.68,0.0,0.0,0.0,0
248,1ps3,9,21.323529411764707,4.53,0.0,0.0,0.0,0
249,1ps3,10,0.0,6.11,0.0,0.0,0.0,0
250,1pxn,1,72.72727272727273,0.91,10.0,7.0,0.85,1
251,1pxn,2,1.01010101010101,7.36,0.0,0.0,0.0,0
252,1pxn,3,3.03030303030303,6.61,0.0,0.0,0.0,0
253,1pxn,4,6.06060606060606,6.43,0.0,0.0,0.0,0
254,1pxn,5,64.64646464646465,1.72,10.0,0.0,0.5,0
255,1pxn,6,10.1010101010101,6.33,0.0,0.0,0.0,0
256,1pxn,7,0.0,6.44,0.0,0.0,0.0,0
257,1pxn,8,1.01010101010101,6.53,0.0,0.0,0.0,0
258,1pxn,9,20.2020202020202,2.87,7.0,0.0,0.35,0
259,1pxn,10,0.0,2.93,7.0,0.0,0.35,0
260,1q8t,1,0.0,7.67,0.0,0.0,0.0,0
261,1q8t,2,0.0,7.67,0.0,0.0,0.0,0
262,1q8t,3,0.0,2.1,7.0,0.0,0.35,0
263,1q8t,4,0.0,7.57,0.0,0.0,0.0,0
264,1q8t,5,0.0,7.64,0.0,0.0,0.0,0
265,1q8t,6,0.0,7.51,0.0,0.0,0.0,0
266,1q8t,7,0.0,1.38,10.0,0.0,0.5,0
267,1q8t,8,0.0,7.49,0.0,0.0,0.0,0
268,1q8t,9,0.0,1.39,10.0,0.0,0.5,0
269,1q8t,10,0.0,2.05,7.0,0.0,0.35,0
270,1q8u,1,86.56716417910447,0.34,10.0,10.0,1.0,1
271,1q8u,2,55.223880597014926,1.04,10.0,0.0,0.5,0
272,1q8u,3,11.940298507462686,2.98,7.0,0.0,0.35,0
273,1q8u,4,56.71641791044776,2.1,7.0,0.0,0.35,0
274,1q8u,5,8.955223880597014,3.68,0.0,0.0,0.0,0
275,1q8u,6,2.985074626865671,6.95,0.0,0.0,0.0,0
276,1q8u,7,23.88059701492537,2.63,7.0,0.0,0.35,0
277,1q8u,8,13.432835820895523,3.48,0.0,0.0,0.0,0
278,1q8u,9,10.44776119402985,4.02,0.0,0.0,0.0,0
279,1q8u,10,0.0,3.86,0.0,0.0,0.0,0
280,1qf1,1,84.7328244274809,1.4,10.0,10.0,1.0,1
281,1qf1,2,50.38167938931297,2.76,7.0,0.0,0.35,0
282,1qf1,3,21.374045801526716,6.66,0.0,0.0,0.0,0
283,1qf1,4,8.396946564885496,8.58,0.0,0.0,0.0,0
284,1qf1,5,23.66412213740458,5.88,0.0,0.0,0.0,0
285,1qf1,6,9.923664122137405,8.46,0.0,0.0,0.0,0
286,1qf1,7,3.816793893129771,9.33,0.0,0.0,0.0,0
287,1qf1,8,13.740458015267176,6.7,0.0,0.0,0.0,0
288,1qf1,9,18.3206106870229,7.64,0.0,0.0,0.0,0
289,1qf1,10,0.0,9.16,0.0,0.0,0.0,0
290,1qkt,1,75.43859649122807,0.69,10.0,7.0,0.85,1
291,1qkt,2,63.1578947368421,1.1,10.0,0.0,0.5,0
292,1qkt,3,40.35087719298245,2.78,7.0,0.0,0.35,0
293,1qkt,4,0.0,6.48,0.0,0.0,0.0,0
294,1qkt,5,0.0,6.39,0.0,0.0,0.0,0
295,1qkt,6,0.0,6.79,0.0,0.0,0.0,0
296,1qkt,7,1.75438596491228,6.39,0.0,0.0,0.0,0
297,1qkt,8,0.0,,,0.0,,0
298,1qkt,9,0.0,,,0.0,,0
299,1qkt,10,0.0,,,0.0,,0
300,1r5y,1,82.37704918032787,0.22,10.0,10.0,1.0,1
301,1r5y,2,8.19672131147541,4.99,0.0,0.0,0.0,0
302,1r5y,3,1.639344262295082,5.47,0.0,0.0,0.0,0
303,1r5y,4,20.491803278688526,5.12,0.0,0.0,0.0,0
304,1r5y,5,3.688524590163934,5.22,0.0,0.0,0.0,0
305,1r5y,6,9.426229508196721,5.87,0.0,0.0,0.0,0
306,1r5y,7,4.918032786885246,7.06,0.0,0.0,0.0,0
307,1r5y,8,4.098360655737705,6.62,0.0,0.0,0.0,0
308,1r5y,9,0.8196721311475411,7.16,0.0,0.0,0.0,0
309,1r5y,10,0.0,4.84,0.0,0.0,0.0,0
310,1s38,1,95.34883720930233,0.16,10.0,10.0,1.0,1
311,1s38,2,16.27906976744186,4.83,0.0,0.0,0.0,0
312,1s38,3,0.0,5.9,0.0,0.0,0.0,0
313,1s38,4,5.813953488372093,5.59,0.0,0.0,0.0,0
314,1s38,5,12.790697674418606,4.21,0.0,0.0,0.0,0
315,1s38,6,4.651162790697675,6.03,0.0,0.0,0.0,0
316,1s38,7,3.488372093023256,6.98,0.0,0.0,0.0,0
317,1s38,8,5.813953488372093,7.68,0.0,0.0,0.0,0
318,1s38,9,6.976744186046512,5.47,0.0,0.0,0.0,0
319,1s38,10,0.0,,,0.0,,0
320,1sqa,1,44.72049689440994,1.44,10.0,0.0,0.5,0
321,1sqa,2,52.17391304347826,0.91,10.0,0.0,0.5,0
322,1sqa,3,5.5900621118012435,5.73,0.0,0.0,0.0,0
323,1sqa,4,46.58385093167702,1.29,10.0,0.0,0.5,0
324,1sqa,5,4.9689440993788825,9.79,0.0,0.0,0.0,0
325,1sqa,6,36.024844720496894,1.59,10.0,0.0,0.5,0
326,1sqa,7,37.88819875776397,3.69,0.0,0.0,0.0,0
327,1sqa,8,2.4844720496894412,10.5,0.0,0.0,0.0,0
328,1sqa,9,3.726708074534161,9.95,0.0,0.0,0.0,0
329,1sqa,10,0.0,9.56,0.0,0.0,0.0,0
330,1syi,1,83.6734693877551,,,10.0,,0
331,1syi,2,59.183673469387756,2.8,7.0,0.0,0.35,0
332,1syi,3,24.489795918367346,,,0.0,,0
333,1syi,4,0.0,,,0.0,,0
334,1syi,5,0.0,,,0.0,,0
335,1syi,6,0.0,,,0.0,,0
336,1syi,7,0.0,,,0.0,,0
337,1syi,8,0.0,,,0.0,,0
338,1syi,9,0.0,,,0.0,,0
339,1syi,10,0.0,,,0.0,,0
340,1u1b,1,83.33333333333334,1.73,10.0,10.0,1.0,1
341,1u1b,2,52.29885057471264,1.93,10.0,0.0,0.5,0
342,1u1b,3,68.96551724137932,2.21,7.0,0.0,0.35,0
343,1u1b,4,68.96551724137932,1.46,10.0,0.0,0.5,0
344,1u1b,5,2.298850574712643,8.3,0.0,0.0,0.0,0
345,1u1b,6,14.367816091954023,8.32,0.0,0.0,0.0,0
346,1u1b,7,20.114942528735632,4.43,0.0,0.0,0.0,0
347,1u1b,8,33.33333333333333,3.73,0.0,0.0,0.0,0
348,1u1b,9,0.57471264367816,9.28,0.0,0.0,0.0,0
349,1u1b,10,0.0,8.29,0.0,0.0,0.0,0
350,1uto,1,63.33333333333333,1.03,10.0,0.0,0.5,0
351,1uto,2,63.33333333333333,1.21,10.0,0.0,0.5,0
352,1uto,3,66.66666666666666,1.17,10.0,0.0,0.5,0
353,1uto,4,70.0,0.48,10.0,7.0,0.85,1
354,1uto,5,5.0,3.95,0.0,0.0,0.0,0
355,1uto,6,0.0,3.95,0.0,0.0,0.0,0
356,1uto,7,3.333333333333333,3.53,0.0,0.0,0.0,0
357,1uto,8,1.666666666666666,3.41,0.0,0.0,0.0,0
358,1uto,9,53.333333333333336,1.22,10.0,0.0,0.5,0
359,1uto,10,0.0,6.61,0.0,0.0,0.0,0
360,1vso,1,75.34246575342466,1.07,10.0,7.0,0.85,1
361,1vso,2,76.71232876712328,1.06,10.0,7.0,0.85,1
362,1vso,3,44.52054794520548,5.41,0.0,0.0,0.0,0
363,1vso,4,40.41095890410959,5.38,0.0,0.0,0.0,0
364,1vso,5,13.013698630136986,5.09,0.0,0.0,0.0,0
365,1vso,6,44.52054794520548,5.52,0.0,0.0,0.0,0
366,1vso,7,14.383561643835616,4.94,0.0,0.0,0.0,0
367,1vso,8,3.424657534246575,7.79,0.0,0.0,0.0,0
368,1vso,9,5.47945205479452,5.22,0.0,0.0,0.0,0
369,1vso,10,0.0,5.31,0.0,0.0,0.0,0
370,1w4o,1,72.22222222222221,0.73,10.0,7.0,0.85,1
371,1w4o,2,45.370370370370374,2.16,7.0,0.0,0.35,0
372,1w4o,3,0.925925925925925,6.32,0.0,0.0,0.0,0
373,1w4o,4,34.25925925925926,1.63,10.0,0.0,0.5,0
374,1w4o,5,32.407407407407405,2.83,7.0,0.0,0.35,0
375,1w4o,6,23.14814814814815,4.59,0.0,0.0,0.0,0
376,1w4o,7,18.51851851851852,3.96,0.0,0.0,0.0,0
377,1w4o,8,10.185185185185185,6.95,0.0,0.0,0.0,0
378,1w4o,9,20.37037037037037,7.88,0.0,0.0,0.0,0
379,1w4o,10,0.0,8.26,0.0,0.0,0.0,0
380,1y6r,1,83.1081081081081,0.58,10.0,10.0,1.0,1
381,1y6r,2,0.0,,,0.0,,0
382,1y6r,3,4.72972972972973,5.69,0.0,0.0,0.0,0
383,1y6r,4,2.702702702702702,5.92,0.0,0.0,0.0,0
384,1y6r,5,9.45945945945946,5.37,0.0,0.0,0.0,0
385,1y6r,6,2.702702702702702,6.07,0.0,0.0,0.0,0
386,1y6r,7,33.108108108108105,2.96,7.0,0.0,0.35,0
387,1y6r,8,3.378378378378378,5.61,0.0,0.0,0.0,0
388,1y6r,9,6.756756756756757,5.38,0.0,0.0,0.0,0
389,1y6r,10,0.0,3.42,0.0,0.0,0.0,0
390,1yc1,1,68.54838709677419,0.79,10.0,0.0,0.5,0
391,1yc1,2,55.64516129032258,1.26,10.0,0.0,0.5,0
392,1yc1,3,14.516129032258066,6.09,0.0,0.0,0.0,0
393,1yc1,4,8.064516129032258,5.29,0.0,0.0,0.0,0
394,1yc1,5,10.483870967741936,5.87,0.0,0.0,0.0,0
395,1yc1,6,0.8064516129032251,4.72,0.0,0.0,0.0,0
396,1yc1,7,4.838709677419355,5.66,0.0,0.0,0.0,0
397,1yc1,8,10.483870967741936,5.43,0.0,0.0,0.0,0
398,1yc1,9,0.0,5.41,0.0,0.0,0.0,0
399,1yc1,10,0.0,,,0.0,,0
400,1ydr,1,82.08955223880598,0.57,10.0,10.0,1.0,1
401,1ydr,2,5.970149253731343,3.51,0.0,0.0,0.0,0
402,1ydr,3,13.432835820895523,2.74,7.0,0.0,0.35,0
403,1ydr,4,4.477611940298507,3.76,0.0,0.0,0.0,0
404,1ydr,5,7.462686567164178,3.61,0.0,0.0,0.0,0
405,1ydr,6,47.76119402985074,2.55,7.0,0.0,0.35,0
406,1ydr,7,5.970149253731343,3.78,0.0,0.0,0.0,0
407,1ydr,8,1.492537313432835,10.13,0.0,0.0,0.0,0
408,1ydr,9,26.865671641791046,2.14,7.0,0.0,0.35,0
409,1ydr,10,0.0,3.77,0.0,0.0,0.0,0
410,1ydt,1,10.0,4.17,0.0,0.0,0.0,0
411,1ydt,2,29.166666666666668,3.22,0.0,0.0,0.0,0
412,1ydt,3,5.833333333333333,3.6,0.0,0.0,0.0,0
413,1ydt,4,25.0,3.12,0.0,0.0,0.0,0
414,1ydt,5,0.0,10.9,0.0,0.0,0.0,0
415,1ydt,6,5.0,9.54,0.0,0.0,0.0,0
416,1ydt,7,8.333333333333332,4.39,0.0,0.0,0.0,0
417,1ydt,8,4.166666666666666,9.34,0.0,0.0,0.0,0
418,1ydt,9,5.0,8.45,0.0,0.0,0.0,0
419,1ydt,10,0.0,2.72,7.0,0.0,0.35,0
420,1z6e,1,91.48936170212765,0.27,10.0,10.0,1.0,1
421,1z6e,2,80.1418439716312,1.14,10.0,10.0,1.0,1
422,1z6e,3,20.56737588652482,3.08,0.0,0.0,0.0,0
