PDB code,Protein name
4kz7,BETA-LACTAMASE
1ai4,PENICILLIN AMIDOHYDROLASE
3g30,BETA-LACTAMASE CTX-M-9A
3gr2,BETA-LACTAMASE
3mfv,ARGINASE-1
3vdb,BETA-GALACTOSIDASE
4g0q,PROTEIN ARGONAUTE 1
4urz,GTPASE HRAS
4hj2,GLUTATHIONE S-TRANSFERASE A1
3b3s,LEUCYL AMINOPEPTIDASE
3ovn,HIV-1 INTEGRASE
1gwv,"N-ACETYLLACTOSAMINIDE ALPHA-1,3-GALACTOSYLTRANSFERASE"
3kgp,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
3gvb,BETA-LACTAMASE
4o3c,GLUTAMATE RECEPTOR 2
2r5a,POLYCOMB PROTEIN SCM
4up5,"PYGOPUS HOMOLOG 2, B-CELL CLL/LYMPHOMA 9-LIKE PROTEIN"
5g46,NUCLEAR RECEPTOR ROR-GAMMA
3f37,FERRITIN LIGHT CHAIN
5lvd,THERMOLYSIN
1ajn,PENICILLIN AMIDOHYDROLASE
4i8x,L-LACTATE DEHYDROGENASE A CHAIN
4q7w,CARBONIC ANHYDRASE 2
4q8y,CARBONIC ANHYDRASE 2
4ufl,GALACTOCEREBROSIDASE
6fhu,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2A
5ey0,GTP-SENSING TRANSCRIPTIONAL PLEIOTROPIC REPRESSOR CODY
3a1e,PROBABLE COPPER-EXPORTING P-TYPE ATPASE A
3lvw,GLUTAMATE-CYSTEINE LIGASE
4b3c,DNA REPAIR AND RECOMBINATION PROTEIN RADA
4b3d,DNA REPAIR AND RECOMBINATION PROTEIN RADA
3elc,"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE"
2fzc,ASPARTATE CARBAMOYLTRANSFERASE
2uyn,PROTEIN TDCF
3bra,BETA-SECRETASE 1
6nmb,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
1pfu,METHIONYL-TRNA SYNTHETASE
2rkd,PHOSPHOENOLPYRUVATE CARBOXYKINASE
5fsx,MACRODOMAIN
2qwb,NEURAMINIDASE
2vyt,SEX COMB ON MIDLEG-LIKE PROTEIN 2
4m6u,MANDELATE RACEMASE
4ndu,ALPHA-GALACTOSYL-BINDING LECTIN
5os2,AURORA KINASE A
1rql,PHOSPHONOACETALDEHYDE HYDROLASE
4bt5,ALPHA-ACETOLACTATE DECARBOXYLASE
5er4,PROTEIN S100-B
2bet,CARBOHYDRATE-PHOSPHATE ISOMERASE
3fcq,THERMOLYSIN
4kz3,BETA-LACTAMASE
4ykk,ML032222A IGLUR
6g24,HISTONE-LYSINE N-METHYLTRANSFERASE NSD3
5os4,AURORA KINASE A
2bza,TRYPSIN
5fbi,COMPLEMENT FACTOR D
5fov,DNA REPAIR AND RECOMBINATION PROTEIN RADA
3djx,SEMINAL RIBONUCLEASE
4rrg,THREONINE--TRNA LIGASE
3lka,MACROPHAGE METALLOELASTASE (MMP-12)
3ppr,GLYCINE BETAINE/CARNITINE/CHOLINE-BINDING PROTEIN
4dsu,"GTPASE KRAS, ISOFORM 2B"
4k7i,PEROXIREDOXIN-5
6mj7,SEQUESTOSOME-1
3zt2,HIV-1 INTEGRASE
3udh,BETA-SECRETASE 1
5th4,CARBONIC ANHYDRASE 2
3zt3,HIV-1 INTEGRASE
1cet,L-LACTATE DEHYDROGENASE
1iih,TRIOSEPHOSPHATE ISOMERASE
3g31,BETA-LACTAMASE CTX-M-9A
4b35,DNA REPAIR AND RECOMBINATION PROTEIN RADA
4gqq,ALPHA-AMYLASE
4llx,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
5flt,CARBONIC ANHYDRASE 2
5ngz,UBIQUITIN-CONJUGATING ENZYME E2 T
5orv,AURORA KINASE A
6b7b,PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE
3c2u,XYLOSIDASE/ARABINOSIDASE
1h2k,HYPOXIA-INDUCIBLE FACTOR 1-ALPHA INHIBITOR
2fw6,N5-CARBOXYAMINOIMIDAZOLE RIBONUCLEOTIDE MUTASE
3alt,"LECTIN CEL-IV, C-TYPE"
3k8c,RIBOSE-5-PHOSPHATE ISOMERASE
4ai5,DNA-3-METHYLADENINE GLYCOSYLASE I
4ef6,PANTOTHENATE SYNTHETASE
4lm3,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
4y2q,BIFUNCTIONAL EPOXIDE HYDROLASE 2
5ct2,HEPATOCYTE GROWTH FACTOR
6fv4,N-ACETYLGLUCOSAMINE-6-PHOSPHATE DEACETYLASE
1tng,TRYPSIN
4zv2,ANCQR
2vmc,DISCOIDIN-2
1f4e,THYMIDYLATE SYNTHASE
2w8j,SERINE PALMITOYLTRANSFERASE
3g34,BETA-LACTAMASE CTX-M-9A
3imc,PANTOTHENATE SYNTHETASE
4dst,"GTPASE KRAS, ISOFORM 2B"
4mrg,CD44 ANTIGEN
4owm,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE
5fng,CARBONIC ANHYDRASE 2
6r9x,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE F
4ceb,HIV-1 INTEGRASE
5flq,CARBONIC ANHYDRASE 2
3ckb,SUSD
3djq,SEMINAL RIBONUCLEASE
4ibc,POLYMERASE COFACTOR VP35
5aba,CELLULAR TUMOR ANTIGEN P53
4bps,FKBO
1ecq,GLUCARATE DEHYDRATASE
1ws4,AGGLUTININ ALPHA CHAIN
2q8h,PYRUVATE DEHYDROGENASE [LIPOAMIDE] KINASE
2rka,PHOSPHOENOLPYRUVATE CARBOXYKINASE
2v3u,GLUTAMATE RECEPTOR DELTA-2
3ime,PANTOTHENATE SYNTHETASE
4b2i,DNA REPAIR AND RECOMBINATION PROTEIN RADA
4k0o,F17B-G FIMBRIAL ADHESIN
4l51,TRANSCRIPTIONAL REGULATOR LSRR
4llk,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
4r3w,ASPARTATE-SEMIALDEHYDE DEHYDROGENASE
4u0w,HTH-TYPE TRANSCRIPTIONAL REPRESSOR YVOA
5ehw,CARBONIC ANHYDRASE 2
6ftz,COMPLEMENT FACTOR D
6quv,GTPASE KRAS
1utm,TRYPSIN I
4g0p,PROTEIN ARGONAUTE 1
2vmd,DISCOIDIN-2
4q81,CARBONIC ANHYDRASE 2
1ogd,HIGH AFFINITY RIBOSE TRANSPORT PROTEIN RBSD
2ha3,ACETYLCHOLINESTERASE
4lm2,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
4qp2,MITOGEN-ACTIVATED PROTEIN KINASE 1
5aoi,CELLULAR TUMOR ANTIGEN P53
1rtf,TISSUE PLASMINOGEN ACTIVATOR
3t08,BETA-GALACTOSIDASE
3t1m,GALECTIN-3
4i7k,LYSOZYME
4lm4,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
5fls,CARBONIC ANHYDRASE 2
1f74,N-ACETYL-NEURAMINATE LYASE
1uj5,RIBOSE-5-PHOSPHATE ISOMERASE
4g5f,PANTOTHENATE SYNTHETASE
6ncn,APOLIPOPROTEIN E
1rnm,RIBONUCLEASE A
3mof,PHOSPHOENOLPYRUVATE CARBOXYKINASE
6fh3,PROTEIN-ARGININE KINASE
1y1z,N-METHYL-D-ASPARTATE RECEPTOR SUBUNIT 1
5ehv,CARBONIC ANHYDRASE 2
1ec9,GLUCARATE DEHYDRATASE
2xdl,HEAT SHOCK PROTEIN HSP90-ALPHA
3buf,BETA-SECRETASE 1
3f78,INTEGRIN ALPHA-L
4cjr,HIV-1 INTEGRASE
4kz6,BETA-LACTAMASE
5eh8,CARBONIC ANHYDRASE 2
5orw,AURORA KINASE A
3c2r,NICOTINATE-NUCLEOTIDE PYROPHOSPHORYLASE
4bt3,ALPHA-ACETOLACTATE DECARBOXYLASE
4cgi,HIV-1 INTEGRASE
5ey4,78 KDA GLUCOSE-REGULATED PROTEIN
1ax0,LECTIN
5c5t,PROLYL 4-HYDROXYLASE
6d1k,METALLO-BETA-LACTAMASE TYPE 2
2ya7,NEURAMINIDASE A
4b34,DNA REPAIR AND RECOMBINATION PROTEIN RADA
6g27,HISTONE-LYSINE N-METHYLTRANSFERASE NSD3
1e6q,MYROSINASE
4de5,PANTOTHENATE SYNTHETASE
4fzj,PANTOTHENATE SYNTHETASE
5flo,CARBONIC ANHYDRASE 2
5fnf,HEAT SHOCK PROTEIN HSP90-ALPHA
6a87,LECTIN
2ymd,ACETYLCHOLINE RECEPTOR
3f34,FERRITIN LIGHT CHAIN
5fot,DNA REPAIR AND RECOMBINATION PROTEIN RADA
5fox,DNA REPAIR AND RECOMBINATION PROTEIN RADA
5ose,AURORA KINASE A
1lbk,GLUTATHIONE S-TRANSFERASE P1-1
3bug,BETA-SECRETASE 1
3g1v,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE
4gzx,NEURAMINIDASE
6dyn,EBONY
6ssy,TAURINE-BINDING PERIPLASMIC PROTEIN
5cs6,"CASEIN KINASE II, ALPHA SUBUNIT"
5ijr,NEUROPILIN-1
1s5z,NUCLEOSIDE DIPHOSPHATE KINASE
1br6,RICIN
1e6s,MYROSINASE
1ew9,ALKALINE PHOSPHATASE
1k1y,4-ALPHA-GLUCANOTRANSFERASE
1zc9,"2,2-DIALKYLGLYCINE DECARBOXYLASE"
2ri9,"MANNOSYL-OLIGOSACCHARIDE ALPHA-1,2-MANNOSIDASE"
2uy3,ENDOCHITINASE
4n5d,CASPASE-6
1px4,BETA-GALACTOSIDASE
3zsy,HIV-1 INTEGRASE
4lm1,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
4unp,THYMIDYLATE KINASE
5qay,BETA-LACTAMASE
3qfz,CELLOBIOSE PHOSPHORYLASE
4b2l,DNA REPAIR AND RECOMBINATION PROTEIN RADA
4qlk,BETA-GLUCOSIDASE 7
1v2j,TRYPSIN
3ta1,NITROGEN REGULATORY PROTEIN P-II (GLNB-3)
4lm0,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
5yas,HYDROXYNITRILE LYASE
3ioe,PANTOTHENATE SYNTHETASE
1bcu,THROMBIN
3d52,ALPHA-MANNOSIDASE II
3tfu,ADENOSYLMETHIONINE-8-AMINO-7-OXONONANOATE AMINOTRAN
3zsx,HIV-1 INTEGRASE
4fl1,TYROSINE-PROTEIN KINASE SYK
5duw,GALECTIN-4
6ibk,ALPHA-GALACTOSIDASE A
1d7j,FK506-BINDING PROTEIN (FKBP)
1phw,2-DEHYDRO-3-DEOXYPHOSPHOOCTONATE ALDOLASE
1tpw,TRIOSEPHOSPHATE ISOMERASE
2vw2,SIALIDASE B
3aaq,ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE I
3hcm,PROTEIN S100-B
4ddh,PANTOTHENATE SYNTHETASE
4jss,CARBONIC ANHYDRASE 2
4mrw,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
4msa,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
4np3,CD44 ANTIGEN
5g45,NUCLEAR RECEPTOR ROR-GAMMA
1i2s,BETA-LACTAMASE
1pzp,BETA-LACTAMASE TEM
5fe7,HISTONE ACETYLTRANSFERASE KAT2B
2wk6,THYMIDINE PHOSPHORYLASE
4cjp,HIV-1 INTEGRASE
4i7j,LYSOZYME
6efj,METALLO-BETA-LACTAMASE TYPE 2
6pg3,WD REPEAT-CONTAINING PROTEIN 5
6phx,ALPHA-GALACTOSIDASE
188l,T4 LYSOZYME
1jlr,URACIL PHOSPHORIBOSYLTRANSFERASE
4ab9,TRYPSIN
4b0b,3-HYDROXYDECANOYL-[ACYL-CARRIER-PROTEIN] DEHYDRATASE
4b5t,"4-HYDROXY-2-OXO-HEPTANE-1,7-DIOATE ALDOLASE"
4b5w,"4-HYDROXY-2-OXO-HEPTANE-1,7-DIOATE ALDOLASE"
3f33,FERRITIN LIGHT CHAIN
4b32,DNA REPAIR AND RECOMBINATION PROTEIN RADA
4bt4,ALPHA-ACETOLACTATE DECARBOXYLASE
4cp5,NUCLEOSIDE DIPHOSPHATE KINASE
3c2o,NICOTINATE-NUCLEOTIDE PYROPHOSPHORYLASE
3pwk,ASPARTATE-SEMIALDEHYDE DEHYDROGENASE
4lkq,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
4cj4,HIV-1 INTEGRASE
187l,T4 LYSOZYME
1tnh,TRYPSIN
1v2u,TRYPSIN
3d8z,RIBONUCLEASE
3n35,LECTIN
4b33,DNA REPAIR AND RECOMBINATION PROTEIN RADA
6mnv,PHOSPHOMANNOMUTASE/PHOSPHOGLUCOMUTASE
2fzg,ASPARTATE CARBAMOYLTRANSFERASE
3tay,OUTER CAPSID PROTEIN VP4
3w07,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE
4qll,BETA-GLUCOSIDASE 7
4ipn,6-PHOSPHO-BETA-GLUCOSIDASE
4lhm,THYMIDINE PHOSPHORYLASE
5lsh,LYSOZYME C
5os5,AURORA KINASE A
1bxr,CARBAMOYL-PHOSPHATE SYNTHASE
1f8d,NEURAMINIDASE
1ikt,ESTRADIOL 17 BETA-DEHYDROGENASE 4
1l83,T4 LYSOZYME
1m83,TRYPTOPHANYL-TRNA LIGASE
1uz4,MANNOSIDASE
3jzh,POLYCOMB PROTEIN EED
4abe,TRYPSIN
2v2c,TRIOSEPHOSPHATE ISOMERASE
2qtn,NICOTINATE (NICOTINAMIDE) NUCLEOTIDE ADENYLYLTRANSFERASE
2sim,NEURAMINIDASE
2w08,SERUM AMYLOID P-COMPONENT
3iob,PANTOTHENATE SYNTHETASE
4llj,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
4n8q,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE
2xog,RIBONUCLEASE
3axz,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE
5osl,"CASEIN KINASE II, ALPHA SUBUNIT"
4umc,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE
6exs,PEPTIDE ABC TRANSPORTER PERMEASE
3nik,E3 UBIQUITIN-PROTEIN LIGASE UBR1
1moq,GLUCOSAMINE 6-PHOSPHATE SYNTHASE
3muz,BETA-GALACTOSIDASE
4k5p,M1 FAMILY AMINOPEPTIDASE
4tz2,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2
5qal,BETA-LACTAMASE
6hgr,ADENINE PHOSPHORIBOSYLTRANSFERASE
6q4e,CYCLIN-DEPENDENT KINASE 2
3ta0,NITROGEN REGULATORY PROTEIN P-II (GLNB-3)
4epy,"GTPASE KRAS, ISOFORM 2B"
4h42,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
5ma7,THERMOLYSIN
6pvz,THIOL:DISULFIDE INTERCHANGE PROTEIN DSBA
2p3i,"ROTAVIRUS SPIKE PROTEIN, VP4"
3g1d,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE
3gx0,GST-LIKE PROTEIN YFCG
3nyd,"ENDO-1,4-BETA-XYLANASE A"
4k7n,PEROXIREDOXIN-5
5eh7,CARBONIC ANHYDRASE 2
5xg5,MITSUBA-1
1c5o,THROMBIN ALPHA
1utn,TRYPSINOGEN
4avs,SERUM AMYLOID P-COMPONENT
4b5s,"4-HYDROXY-2-OXO-HEPTANE-1,7-DIOATE ALDOLASE"
5fnd,HEAT SHOCK PROTEIN HSP90-ALPHA
6d9x,WD REPEAT-CONTAINING PROTEIN 5
6poi,THIOL:DISULFIDE INTERCHANGE PROTEIN DSBA
4i7p,LYSOZYME
2r0h,CGL3 LECTIN
5cp9,HEPATOCYTE GROWTH FACTOR
5h1u,TRANSCRIPTION INTERMEDIARY FACTOR 1-ALPHA
5mby,XAA-PRO DIPEPTIDASE
1jys,MTA/SAH NUCLEOSIDASE
2j27,TRIOSEPHOSPHATE ISOMERASE
2vw1,SIALIDASE B
3mfw,ARGINASE-1
4mrz,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
5mod,"CASEIN KINASE II, ALPHA SUBUNIT"
6g25,HISTONE-LYSINE N-METHYLTRANSFERASE NSD3
185l,T4 LYSOZYME
1v2r,TRYPSIN
2cle,TRYPTOPHAN SYNTHASE ALPHA CHAIN
2qwc,NEURAMINIDASE
4aji,L-LACTATE DEHYDROGENASE A CHAIN
5btx,LPG1496
5fpk,DNA REPAIR AND RECOMBINATION PROTEIN RADA
1h46,CELLULASE
1np0,BETA-HEXOSAMINIDASE BETA CHAIN
3ff3,GLUTAMATE CARBOXYPEPTIDASE 3
4abg,TRYPSIN BETA
4ck3,HIV-1 INTEGRASE
4ibb,POLYMERASE COFACTOR VP35
4q8x,CARBONIC ANHYDRASE 2
5a7b,CELLULAR TUMOR ANTIGEN P53
3dx1,ALPHA-MANNOSIDASE II
6gjm,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A
1nli,RIBOSOME-INACTIVATING PROTEIN ALPHA
2gsu,PHOSPHODIESTERASE-NUCLEOTIDE PYROPHOSPHATASE
4cjq,HIV-1 INTEGRASE
4q7v,CARBONIC ANHYDRASE 2
5mxf,PHOTORHABDUS ASYMBIOTICA LECTIN PHL
6dpz,BETA-LACTAMASE
6p8a,UDP-3-O-(3-HYDROXYMYRISTOYL)GLUCOSAMINE N-ACYLTRANSFERASE
6pg4,WD REPEAT-CONTAINING PROTEIN 5
1d7i,FK506-BINDING PROTEIN (FKBP)
2fzk,ASPARTATE CARBAMOYLTRANSFERASE
2qpu,ALPHA-AMYLASE
2xdk,HEAT SHOCK PROTEIN HSP90-ALPHA
3b3x,BETA-LACTAMASE
3g0i,EPOXIDE HYDROLASE
3jdw,L-ARGININE/GLYCINE AMIDINOTRANSFERASE
4b3b,DNA REPAIR AND RECOMBINATION PROTEIN RADA
4c1y,FUCOSE-SPECIFIC LECTIN FLEA
5dqf,SERUM ALBUMIN
5lvr,HISTONE ACETYLTRANSFERASE KAT2B
3jzj,ACARBOSE/MALTOSE BINDING PROTEIN GACH
3sk2,EHPR
5lud,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A
5oqu,"CASEIN KINASE II, ALPHA SUBUNIT"
1pb9,N-METHYL-D-ASPARTATE RECEPTOR SUBUNIT 1
4bkt,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2
4rrf,THREONINE--TRNA LIGASE
6mll,CARBAPENEM-HYDROLYZING BETA-LACTAMASE KPC
6pge,WD REPEAT-CONTAINING PROTEIN 5
5dqe,TRANSCRIPTIONAL ENHANCER FACTOR TEF-4
5ork,"CASEIN KINASE II, ALPHA SUBUNIT"
1gyy,HYPOTHETICAL PROTEIN YDCE
2azr,PROTEIN-TYROSINE PHOSPHATASE 1B
2rk8,PHOSPHOENOLPYRUVATE CARBOXYKINASE
4iuo,3-DEHYDROQUINATE DEHYDRATASE
4agl,CELLULAR TUMOR ANTIGEN P53
5yum,ACETOLACTATE SYNTHASE ISOZYME 1 SMALL SUBUNIT
2v00,ENDOTHIAPEPSIN
3buh,BETA-SECRETASE 1
3oy8,GALECTIN-1
3pcn,"PROTOCATECHUATE 3,4-DIOXYGENASE"
3t2q,BETA-GALACTOSIDASE
4aia,DNA-3-METHYLADENINE GLYCOSYLASE I
4fl2,TYROSINE-PROTEIN KINASE SYK
5m17,GLYCOSYL HYDROLASE FAMILY 71
5nzn,NEURAMINIDASE
6cq1,B-CELL LYMPHOMA 6 PROTEIN
6dyr,EBONY
4cig,HIV-1 INTEGRASE
4ibd,POLYMERASE COFACTOR VP35
5fog,LEUCYL-TRNA SYNTHETASE
5fol,LEUCYL-TRNA SYNTHETASE
1c3x,PENTOSYLTRANSFERASE
2x6x,TAILSPIKE PROTEIN HK620
3ioc,PANTOTHENATE SYNTHETASE
3isj,PANTOTHENATE SYNTHETASE
4aje,L-LACTATE DEHYDROGENASE A CHAIN
4io7,AVGLUR1 LIGAND BINDING DOMAIN
4isu,GLUTAMATE RECEPTOR 2
6cfc,LYTIC TRANSGLYCOSYLASE
2a8g,AVIDIN
4ovg,DNA POLYMERASE III SUBUNIT BETA
4tte,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2
5dkn,PROTEIN S100-B
5os7,"CASEIN KINASE II, ALPHA SUBUNIT"
6gg4,PYRUVATE KINASE PKM
1loq,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE
1pdz,ENOLASE
1wht,SERINE CARBOXYPEPTIDASE II
2bvr,THROMBIN ALPHA
2fx6,TRYPSIN
3l59,BETA-SECRETASE 1
3n7a,3-DEHYDROQUINATE DEHYDRATASE
5j41,GLUTATHIONE S-TRANSFERASE P1-1
6gjj,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A
6mlp,LYSINE/ARGININE/ORNITHINE-BINDING PERIPLASMIC PROTEIN
6pg6,WD REPEAT-CONTAINING PROTEIN 5
2vfk,AKAP18 DELTA
3fj7,MAJOR ANTIGENIC PEPTIDE PEB3
3g32,BETA-LACTAMASE CTX-M-9A
1ai5,PENICILLIN AMIDOHYDROLASE
1grp,ISOCITRATE DEHYDROGENASE
2am4,"ALPHA-1,3-MANNOSYL-GLYCOPROTEIN 2-BETA-N"
2r23,ANTIBODY FAB FRAGMENT
3f5l,BETA-GLUCOSIDASE
3q6z,POLY [ADP-RIBOSE] POLYMERASE 14
4tln,THERMOLYSIN
4ufm,GALACTOCEREBROSIDASE
6d1h,METALLO-BETA-LACTAMASE TYPE 2
3fjg,MAJOR ANTIGENIC PEPTIDE PEB3
4fz3,NAD-DEPENDENT PROTEIN DEACETYLASE SIRTUIN-3
6iou,METHYL-ACCEPTING CHEMOTAXIS PROTEIN
1f5k,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
2wq5,PHOSPHOLIPASE A2
4yk0,CREB-BINDING PROTEIN
6gjr,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A
3d6p,RIBONUCLEASE
2x09,EXO-BETA-D-GLUCOSAMINIDASE
4tu4,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2
4w52,T4 LYSOZYME
1kui,METALLOPROTEINASE
2v2h,TRIOSEPHOSPHATE ISOMERASE
3ao2,HIV-1 INTEGRASE
4q46,POLYMERASE BASIC PROTEIN 2
5qa8,BETA-LACTAMASE
6euc,ACETYLCHOLINESTERASE
6fuh,COMPLEMENT FACTOR D
6hgs,ADENINE PHOSPHORIBOSYLTRANSFERASE
3nq3,BETA-LACTOGLOBULIN
2clk,TRYPTOPHAN SYNTHASE ALPHA CHAIN
1kug,METALLOPROTEINASE
1li6,T4 LYSOZYME
1nje,THYMIDYLATE SYNTHASE
2hb1,PROTEIN-TYROSINE PHOSPHATASE 1B
3t09,BETA-GALACTOSIDASE
4ajl,L-LACTATE DEHYDROGENASE A CHAIN
5h1t,TRANSCRIPTION INTERMEDIARY FACTOR 1-ALPHA
5uf0,BROMODOMAIN-CONTAINING PROTEIN 4
6g2b,HISTONE-LYSINE N-METHYLTRANSFERASE NSD3
2hu6,MACROPHAGE METALLOELASTASE (MMP-12)
3ai8,CATHEPSIN B
1hn4,PROPHOSPHOLIPASE A2
4aba,TRYPSIN
4bks,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2
4keq,4-PYRIDOXOLACTONASE
4mmm,PEROXIREDOXIN-5
6e1z,WD REPEAT-CONTAINING PROTEIN 5
1j16,TRYPSIN BETA
1utj,TRYPSIN I
3lzz,PUTATIVE UNCHARACTERIZED PROTEIN
5mnn,TRYPSIN
2wzs,"PUTATIVE ALPHA-1,2-MANNOSIDASE"
2yb0,DUTPASE
3mv0,BETA-GALACTOSIDASE
4kiu,3-DEHYDROQUINATE DEHYDRATASE
5btv,14-3-3 PROTEIN SIGMA
6pg8,WD REPEAT-CONTAINING PROTEIN 5
3spf,BCL-2-LIKE PROTEIN 1
4i9u,L-LACTATE DEHYDROGENASE A CHAIN
5g4m,CELLULAR TUMOR ANTIGEN P53
5ldm,"RNA 2',3'-CYCLIC PHOSPHODIESTERASE"
5oh9,CEREBLON ISOFORM 4
6gjl,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A
